Nitrogen (mg/kg),Fosfor (mg/kg),Kalium (mg/kg),pH,Kelembapan (%),Suhu (°C),EC (dS/m),Salinitas (ppt),TDS (ppm),Kondisi Tanah,Rekomendasi Tindakan
1069,713,1698,5.33,23.02,44.52,0.76,70.34,2223.11,Buruk,"tambahkan pupuk dikit, tambahkan air"
737,188,191,6.84,27.55,16.99,3.87,456.83,2518.85,Buruk,"tambahkan pupuk sedang, tambahkan air"
1269,1267,858,6.73,12.78,32.33,3.59,507.14,2977.04,Buruk,"tambahkan pupuk dikit, tambahkan air"
867,1783,830,5.46,12.53,44.69,1.64,831.54,5171.17,Buruk,"tambahkan pupuk sedang, tambahkan air"
443,1865,1053,7.53,16.05,35.73,8.61,443.69,577.91,Buruk,"tambahkan pupuk banyak, tambahkan air"
746,914,1561,5.03,13.22,37.19,3.89,317.1,1152.4,Buruk,"tambahkan pupuk sedang, tambahkan air"
649,349,436,4.78,12.2,15.96,9.82,488.99,4268.4,Buruk,"tambahkan pupuk sedang, tambahkan air"
477,324,1866,6.23,23.5,15.64,9.0,276.09,5801.41,Buruk,"tambahkan pupuk banyak, tambahkan air"
953,1002,1417,6.34,14.26,16.08,1.99,136.79,4035.33,Buruk,"tambahkan pupuk dikit, tambahkan air"
605,1070,799,5.94,23.27,44.75,5.08,157.39,1936.18,Buruk,"tambahkan pupuk sedang, tambahkan air"
970,772,1943,5.66,27.15,44.39,6.04,353.2,3359.25,Buruk,"tambahkan pupuk dikit, tambahkan air"
1269,267,1024,6.02,22.98,25.04,8.2,62.04,5862.39,Buruk,"tambahkan pupuk dikit, tambahkan air"
948,209,779,5.24,12.38,23.73,8.86,259.19,3404.42,Buruk,"tambahkan pupuk dikit, tambahkan air"
971,1896,1066,6.32,21.41,19.38,6.26,798.15,2554.29,Buruk,"tambahkan pupuk dikit, tambahkan air"
1494,1296,363,8.57,17.83,24.87,0.4,272.89,2608.84,Buruk,"tambahkan pupuk dikit, tambahkan air"
437,1634,204,5.51,16.83,26.1,4.84,155.19,5818.68,Buruk,"tambahkan pupuk banyak, tambahkan air"
1390,396,323,7.58,16.34,37.45,8.85,951.63,4454.04,Buruk,"tambahkan pupuk dikit, tambahkan air"
1599,342,1542,5.14,28.5,40.99,7.16,641.35,4279.45,Buruk,"tambahkan pupuk dikit, tambahkan air"
400,308,1077,6.09,24.78,37.4,8.71,107.02,1776.3,Buruk,"tambahkan pupuk banyak, tambahkan air"
945,1366,214,5.95,12.66,34.39,6.76,109.13,3577.17,Buruk,"tambahkan pupuk dikit, tambahkan air"
431,1377,990,8.72,19.47,37.98,0.49,631.52,2462.1,Buruk,"tambahkan pupuk banyak, tambahkan air"
923,1205,1358,6.43,16.33,37.15,9.68,563.12,1821.11,Buruk,"tambahkan pupuk dikit, tambahkan air"
1377,1557,1907,7.61,29.46,29.27,9.18,114.96,5425.54,Buruk,"tambahkan pupuk dikit, tambahkan air"
1591,1598,1397,7.21,29.46,25.08,1.31,263.1,2607.36,Buruk,"tambahkan pupuk dikit, tambahkan air"
924,1666,1353,5.13,16.36,23.48,1.17,932.59,2055.33,Buruk,"tambahkan pupuk dikit, tambahkan air"
286,1127,828,8.73,17.01,35.38,5.41,593.41,5624.46,Buruk,"tambahkan pupuk banyak, tambahkan air"
902,1317,133,6.06,21.93,43.78,7.58,468.31,1585.41,Buruk,"tambahkan pupuk dikit, tambahkan air"
1019,1179,1511,4.7,19.54,32.43,3.85,287.65,4600.28,Buruk,"tambahkan pupuk dikit, tambahkan air"
253,360,1832,5.85,14.24,42.38,1.41,177.01,4090.11,Buruk,"tambahkan pupuk banyak, tambahkan air"
1265,1716,1624,6.01,23.14,15.43,5.13,432.5,5562.66,Buruk,"tambahkan pupuk dikit, tambahkan air"
1572,1689,994,4.92,16.65,38.83,3.41,926.25,5076.26,Buruk,"tambahkan pupuk dikit, tambahkan air"
1453,479,561,7.29,23.01,40.61,3.55,96.28,4379.12,Buruk,"tambahkan pupuk dikit, tambahkan air"
941,1610,548,6.06,17.64,33.93,6.47,991.43,2230.14,Buruk,"tambahkan pupuk dikit, tambahkan air"
893,195,928,7.33,23.93,43.02,8.86,247.42,3225.63,Buruk,"tambahkan pupuk dikit, tambahkan air"
635,1984,1337,4.53,23.29,32.7,5.61,438.33,5694.73,Buruk,"tambahkan pupuk sedang, tambahkan air"
1364,1459,1169,8.92,20.13,22.22,6.89,92.8,627.61,Buruk,"tambahkan pupuk dikit, tambahkan air"
1511,868,504,5.27,24.02,21.47,6.62,605.54,4868.83,Buruk,"tambahkan pupuk dikit, tambahkan air"
1545,1839,432,7.47,19.17,31.68,5.53,509.38,1884.96,Buruk,"tambahkan pupuk dikit, tambahkan air"
793,1846,339,7.72,12.31,42.19,3.14,683.37,1517.59,Buruk,"tambahkan pupuk sedang, tambahkan air"
641,1452,1377,5.27,13.62,17.17,3.81,565.54,1777.24,Buruk,"tambahkan pupuk sedang, tambahkan air"
366,1619,327,5.0,14.9,33.13,3.19,428.27,828.63,Buruk,"tambahkan pupuk banyak, tambahkan air"
765,928,832,5.19,11.26,38.09,9.18,750.87,5955.89,Buruk,"tambahkan pupuk sedang, tambahkan air"
272,1761,990,5.61,24.16,18.46,8.27,73.77,5284.28,Buruk,"tambahkan pupuk banyak, tambahkan air"
924,1642,265,5.26,17.31,18.5,5.81,563.98,3365.81,Buruk,"tambahkan pupuk dikit, tambahkan air"
1147,1025,684,7.53,11.86,25.98,9.13,158.18,4433.07,Buruk,"tambahkan pupuk dikit, tambahkan air"
469,1248,836,6.39,26.32,23.22,8.87,464.21,3561.27,Buruk,"tambahkan pupuk banyak, tambahkan air"
418,1906,1634,6.92,23.6,20.95,9.28,801.57,4963.68,Buruk,"tambahkan pupuk banyak, tambahkan air"
746,719,697,4.71,19.0,20.96,2.26,185.34,5146.21,Buruk,"tambahkan pupuk sedang, tambahkan air"
1406,359,692,8.38,14.92,18.92,7.19,939.02,1780.35,Buruk,"tambahkan pupuk dikit, tambahkan air"
1301,930,826,5.27,13.02,33.33,6.11,894.08,3028.61,Buruk,"tambahkan pupuk dikit, tambahkan air"
507,1705,1799,6.12,19.12,35.64,7.35,444.16,3991.66,Buruk,"tambahkan pupuk sedang, tambahkan air"
1551,649,1513,4.82,27.62,36.09,2.67,55.68,5881.42,Buruk,"tambahkan pupuk dikit, tambahkan air"
620,1810,1875,5.12,13.75,30.97,6.96,800.26,4254.79,Buruk,"tambahkan pupuk sedang, tambahkan air"
1459,799,1546,7.5,21.32,43.59,4.13,886.85,5436.99,Buruk,"tambahkan pupuk dikit, tambahkan air"
1048,1862,1024,7.62,29.14,41.42,8.35,216.0,5153.62,Buruk,"tambahkan pupuk dikit, tambahkan air"
1085,1893,1534,7.55,22.68,43.73,7.96,920.38,3701.35,Buruk,"tambahkan pupuk dikit, tambahkan air"
661,808,1704,6.98,18.76,26.66,2.15,918.39,5415.1,Buruk,"tambahkan pupuk sedang, tambahkan air"
784,1131,748,8.79,24.26,41.33,1.88,497.73,2575.82,Buruk,"tambahkan pupuk sedang, tambahkan air"
1115,662,1787,6.78,26.41,37.89,7.19,808.13,2586.06,Buruk,"tambahkan pupuk dikit, tambahkan air"
237,472,546,6.52,21.75,25.2,5.53,472.7,4795.31,Buruk,"tambahkan pupuk banyak, tambahkan air"
625,321,1526,5.61,27.35,18.2,5.59,585.84,1239.99,Buruk,"tambahkan pupuk sedang, tambahkan air"
633,630,196,4.94,20.24,35.48,7.54,353.85,2182.04,Buruk,"tambahkan pupuk sedang, tambahkan air"
1582,449,478,6.97,26.52,19.09,8.56,201.5,3847.15,Buruk,"tambahkan pupuk dikit, tambahkan air"
1254,1882,769,5.92,28.95,23.81,2.43,759.21,2810.36,Buruk,"tambahkan pupuk dikit, tambahkan air"
404,130,1309,6.86,19.97,30.01,5.58,51.32,5673.98,Buruk,"tambahkan pupuk banyak, tambahkan air"
904,1715,1803,5.43,22.04,35.4,8.3,600.58,5771.78,Buruk,"tambahkan pupuk dikit, tambahkan air"
941,1481,1367,8.27,22.13,42.79,8.73,871.45,3264.2,Buruk,"tambahkan pupuk dikit, tambahkan air"
1404,121,730,9.0,25.55,32.8,2.91,260.21,3464.84,Buruk,"tambahkan pupuk dikit, tambahkan air"
239,1412,807,5.95,26.38,35.14,1.09,366.25,4485.45,Buruk,"tambahkan pupuk banyak, tambahkan air"
1040,853,602,8.29,10.54,24.3,2.37,608.11,3014.96,Buruk,"tambahkan pupuk dikit, tambahkan air"
1105,313,387,8.43,24.59,35.62,9.46,284.53,1545.54,Buruk,"tambahkan pupuk dikit, tambahkan air"
1380,811,468,8.98,25.6,28.13,4.65,855.11,4608.33,Buruk,"tambahkan pupuk dikit, tambahkan air"
367,1288,164,6.04,23.94,40.71,4.21,398.27,4557.82,Buruk,"tambahkan pupuk banyak, tambahkan air"
841,239,261,7.9,24.2,26.77,0.18,602.53,1847.4,Buruk,"tambahkan pupuk sedang, tambahkan air"
1305,1493,696,5.53,10.82,29.05,0.56,264.82,5081.04,Buruk,"tambahkan pupuk dikit, tambahkan air"
886,1064,1026,7.31,18.8,27.98,6.7,89.32,3875.07,Buruk,"tambahkan pupuk sedang, tambahkan air"
799,1443,670,7.67,26.28,39.33,5.92,215.02,1799.66,Buruk,"tambahkan pupuk sedang, tambahkan air"
301,508,1073,7.84,28.59,43.61,5.78,93.89,4086.22,Buruk,"tambahkan pupuk banyak, tambahkan air"
959,537,1917,5.43,14.57,24.82,1.15,495.17,1784.85,Buruk,"tambahkan pupuk dikit, tambahkan air"
917,896,761,8.32,21.53,29.25,3.55,607.31,1958.78,Buruk,"tambahkan pupuk dikit, tambahkan air"
288,112,1541,6.39,26.01,36.18,8.13,92.44,5164.05,Buruk,"tambahkan pupuk banyak, tambahkan air"
544,600,580,5.47,24.97,41.86,1.79,135.96,5612.2,Buruk,"tambahkan pupuk sedang, tambahkan air"
999,1149,1756,6.94,22.32,29.81,8.83,511.25,1912.85,Buruk,"tambahkan pupuk dikit, tambahkan air"
1533,633,368,8.39,10.37,18.27,1.26,809.22,5604.28,Buruk,"tambahkan pupuk dikit, tambahkan air"
807,960,1890,8.85,24.41,26.06,1.73,646.61,1813.39,Buruk,"tambahkan pupuk sedang, tambahkan air"
358,175,835,7.87,25.39,31.51,4.8,149.47,1144.97,Buruk,"tambahkan pupuk banyak, tambahkan air"
1337,465,666,4.53,24.38,27.53,9.46,893.17,820.23,Buruk,"tambahkan pupuk dikit, tambahkan air"
735,1614,1771,5.11,25.24,20.6,3.33,921.58,1831.62,Buruk,"tambahkan pupuk sedang, tambahkan air"
362,1215,1313,4.84,18.58,16.11,6.6,358.71,2618.86,Buruk,"tambahkan pupuk banyak, tambahkan air"
485,940,505,4.96,29.78,35.62,5.91,635.22,5601.52,Buruk,"tambahkan pupuk banyak, tambahkan air"
1064,986,864,6.22,25.34,44.78,1.54,517.71,1831.87,Buruk,"tambahkan pupuk dikit, tambahkan air"
254,1389,1612,6.02,21.52,42.58,2.52,944.92,2510.06,Buruk,"tambahkan pupuk banyak, tambahkan air"
775,1683,1435,5.01,28.59,35.5,9.31,533.31,4537.86,Buruk,"tambahkan pupuk sedang, tambahkan air"
232,598,1719,8.47,28.07,40.25,1.89,961.97,2161.41,Buruk,"tambahkan pupuk banyak, tambahkan air"
757,1293,965,7.27,26.21,22.67,6.97,239.38,4264.02,Buruk,"tambahkan pupuk sedang, tambahkan air"
930,1469,1812,8.08,21.22,33.67,9.65,378.26,2876.43,Buruk,"tambahkan pupuk dikit, tambahkan air"
1192,1880,1217,6.17,20.49,16.82,1.24,792.28,1580.45,Buruk,"tambahkan pupuk dikit, tambahkan air"
1000,1351,489,6.35,16.54,36.22,4.02,794.43,4537.32,Buruk,"tambahkan pupuk dikit, tambahkan air"
395,798,646,5.93,14.99,44.1,2.28,745.57,648.71,Buruk,"tambahkan pupuk banyak, tambahkan air"
647,779,1534,6.47,20.2,40.82,2.25,866.63,2107.84,Buruk,"tambahkan pupuk sedang, tambahkan air"
1124,302,1335,7.25,21.5,31.03,1.23,717.42,2459.0,Buruk,"tambahkan pupuk dikit, tambahkan air"
291,545,1761,6.72,14.87,38.66,6.51,654.28,3020.2,Buruk,"tambahkan pupuk banyak, tambahkan air"
807,617,1492,8.27,28.36,43.32,7.48,485.98,4239.28,Buruk,"tambahkan pupuk sedang, tambahkan air"
1451,231,841,8.55,21.09,21.48,6.78,493.73,3026.73,Buruk,"tambahkan pupuk dikit, tambahkan air"
485,1368,1291,6.61,20.48,38.8,9.25,435.85,3768.78,Buruk,"tambahkan pupuk banyak, tambahkan air"
1073,190,1137,5.58,18.67,23.1,1.5,639.2,3776.78,Buruk,"tambahkan pupuk dikit, tambahkan air"
1458,1946,685,8.75,11.16,41.31,3.23,436.33,2552.99,Buruk,"tambahkan pupuk dikit, tambahkan air"
301,1249,1687,7.81,27.56,17.95,3.48,190.12,5636.84,Buruk,"tambahkan pupuk banyak, tambahkan air"
339,571,973,7.38,16.31,20.35,2.36,151.2,5757.2,Buruk,"tambahkan pupuk banyak, tambahkan air"
1034,1365,1330,7.85,22.78,36.62,1.46,928.25,3700.18,Buruk,"tambahkan pupuk dikit, tambahkan air"
465,601,1931,4.84,22.09,20.24,4.89,73.5,894.3,Buruk,"tambahkan pupuk banyak, tambahkan air"
1565,860,142,4.8,21.63,19.74,8.35,150.19,3201.2,Buruk,"tambahkan pupuk dikit, tambahkan air"
772,486,979,5.19,20.46,31.66,9.55,473.04,1514.31,Buruk,"tambahkan pupuk sedang, tambahkan air"
734,1130,1565,5.16,13.61,40.05,1.34,299.78,3157.68,Buruk,"tambahkan pupuk sedang, tambahkan air"
722,1211,1638,6.39,15.58,23.05,8.24,435.56,1536.66,Buruk,"tambahkan pupuk sedang, tambahkan air"
215,697,1010,5.21,20.43,40.23,8.25,161.58,4371.2,Buruk,"tambahkan pupuk banyak, tambahkan air"
760,1007,706,8.35,25.71,39.24,3.92,174.36,942.36,Buruk,"tambahkan pupuk sedang, tambahkan air"
1077,966,1518,7.1,18.6,32.37,1.14,810.63,5743.17,Buruk,"tambahkan pupuk dikit, tambahkan air"
535,1268,337,6.16,14.06,34.4,9.9,771.15,1574.57,Buruk,"tambahkan pupuk sedang, tambahkan air"
1109,1574,1802,4.81,11.75,16.21,6.57,149.04,4133.61,Buruk,"tambahkan pupuk dikit, tambahkan air"
369,1454,1654,7.16,23.19,26.01,9.82,684.4,5543.29,Buruk,"tambahkan pupuk banyak, tambahkan air"
1112,1833,818,5.02,18.42,22.9,4.86,628.85,1863.37,Buruk,"tambahkan pupuk dikit, tambahkan air"
318,1998,841,7.84,12.49,19.5,3.98,727.69,5638.63,Buruk,"tambahkan pupuk banyak, tambahkan air"
1265,1287,503,8.11,23.42,26.69,2.51,500.73,2637.71,Buruk,"tambahkan pupuk dikit, tambahkan air"
1212,756,313,6.95,14.13,25.65,9.84,306.49,5782.92,Buruk,"tambahkan pupuk dikit, tambahkan air"
209,441,1691,5.17,20.13,36.87,2.57,680.5,5842.5,Buruk,"tambahkan pupuk banyak, tambahkan air"
629,1124,945,8.04,16.09,32.94,0.29,402.79,1534.44,Buruk,"tambahkan pupuk sedang, tambahkan air"
248,1243,1497,5.89,28.54,42.39,5.15,258.01,5070.98,Buruk,"tambahkan pupuk banyak, tambahkan air"
406,1702,231,5.5,14.54,19.36,3.8,438.2,1563.82,Buruk,"tambahkan pupuk banyak, tambahkan air"
713,563,108,6.62,18.36,16.79,2.65,775.11,1745.42,Buruk,"tambahkan pupuk sedang, tambahkan air"
1433,1990,1866,8.65,29.09,31.04,6.36,502.0,962.7,Buruk,"tambahkan pupuk dikit, tambahkan air"
1362,561,252,5.84,16.34,15.03,3.67,334.87,1360.95,Buruk,"tambahkan pupuk dikit, tambahkan air"
236,1172,530,8.58,22.83,38.63,4.05,840.28,3977.2,Buruk,"tambahkan pupuk banyak, tambahkan air"
417,918,582,4.74,16.3,30.18,0.28,887.56,2970.89,Buruk,"tambahkan pupuk banyak, tambahkan air"
1501,1450,404,4.88,12.2,29.64,5.91,461.59,4850.19,Buruk,"tambahkan pupuk dikit, tambahkan air"
379,573,383,7.64,22.49,25.87,1.26,405.95,2325.98,Buruk,"tambahkan pupuk banyak, tambahkan air"
329,987,571,5.36,28.23,26.25,2.18,632.06,5827.44,Buruk,"tambahkan pupuk banyak, tambahkan air"
810,1038,1092,5.92,19.01,27.93,7.19,105.08,774.3,Buruk,"tambahkan pupuk sedang, tambahkan air"
858,467,289,5.11,22.46,15.48,3.17,706.76,846.15,Buruk,"tambahkan pupuk sedang, tambahkan air"
558,1410,1651,6.0,22.12,17.51,1.67,793.17,4357.56,Buruk,"tambahkan pupuk sedang, tambahkan air"
826,1147,611,5.76,18.26,30.15,5.8,427.57,5381.46,Buruk,"tambahkan pupuk sedang, tambahkan air"
1227,822,442,7.81,22.24,19.5,2.19,215.89,4875.25,Buruk,"tambahkan pupuk dikit, tambahkan air"
1306,392,1553,7.66,15.16,38.36,2.75,77.38,3193.99,Buruk,"tambahkan pupuk dikit, tambahkan air"
1377,1572,814,8.8,17.52,23.23,6.23,655.38,1983.03,Buruk,"tambahkan pupuk dikit, tambahkan air"
705,1186,1809,7.76,18.8,17.94,7.41,305.54,573.98,Buruk,"tambahkan pupuk sedang, tambahkan air"
1017,667,779,7.63,27.19,22.06,7.41,490.7,3301.98,Buruk,"tambahkan pupuk dikit, tambahkan air"
993,1581,1974,7.62,16.93,25.71,4.85,417.04,3116.0,Buruk,"tambahkan pupuk dikit, tambahkan air"
1038,1653,1157,8.47,22.64,16.06,4.57,216.14,2393.35,Buruk,"tambahkan pupuk dikit, tambahkan air"
822,973,570,5.83,14.25,19.25,7.89,532.95,3679.4,Buruk,"tambahkan pupuk sedang, tambahkan air"
828,1060,1517,5.85,15.03,24.72,1.97,486.61,4508.48,Buruk,"tambahkan pupuk sedang, tambahkan air"
296,1536,840,7.84,22.9,24.31,1.56,642.94,4354.89,Buruk,"tambahkan pupuk banyak, tambahkan air"
1505,688,1618,5.53,25.17,39.01,6.66,289.29,1947.89,Buruk,"tambahkan pupuk dikit, tambahkan air"
1018,359,612,8.6,19.2,40.3,4.12,253.91,3719.17,Buruk,"tambahkan pupuk dikit, tambahkan air"
798,1756,1445,6.91,16.67,20.8,7.11,823.63,1318.26,Buruk,"tambahkan pupuk sedang, tambahkan air"
1133,1007,1238,5.85,28.11,18.72,2.6,717.08,1168.81,Buruk,"tambahkan pupuk dikit, tambahkan air"
628,283,1337,7.99,12.7,34.02,3.28,783.6,4822.21,Buruk,"tambahkan pupuk sedang, tambahkan air"
1349,1171,1889,5.91,24.34,39.14,8.97,167.13,4315.6,Buruk,"tambahkan pupuk dikit, tambahkan air"
1524,246,244,8.83,23.73,43.91,4.25,262.84,4723.61,Buruk,"tambahkan pupuk dikit, tambahkan air"
742,1917,658,8.92,23.74,15.2,5.93,596.75,1338.54,Buruk,"tambahkan pupuk sedang, tambahkan air"
566,1999,891,7.5,28.61,27.41,1.11,864.34,5530.4,Buruk,"tambahkan pupuk sedang, tambahkan air"
1268,1929,1301,5.01,24.49,37.02,1.83,897.51,1232.11,Buruk,"tambahkan pupuk dikit, tambahkan air"
1539,691,1848,5.68,16.0,39.86,0.41,840.31,5285.2,Buruk,"tambahkan pupuk dikit, tambahkan air"
1412,1871,459,6.82,17.03,16.87,4.27,91.23,2438.09,Buruk,"tambahkan pupuk dikit, tambahkan air"
251,1532,384,8.33,17.78,35.42,9.89,829.84,1079.89,Buruk,"tambahkan pupuk banyak, tambahkan air"
763,1117,1368,5.33,10.61,23.67,8.75,904.14,2077.23,Buruk,"tambahkan pupuk sedang, tambahkan air"
1555,539,864,4.97,28.18,17.24,6.35,103.91,1497.96,Buruk,"tambahkan pupuk dikit, tambahkan air"
698,1581,1329,4.84,11.46,29.67,8.62,445.47,3198.68,Buruk,"tambahkan pupuk sedang, tambahkan air"
1176,328,683,6.78,23.93,19.74,5.96,559.78,5723.6,Buruk,"tambahkan pupuk dikit, tambahkan air"
1541,1407,1857,8.48,24.53,37.11,3.72,271.11,2303.29,Buruk,"tambahkan pupuk dikit, tambahkan air"
522,1696,1465,4.69,26.79,37.24,1.78,540.85,3866.54,Buruk,"tambahkan pupuk sedang, tambahkan air"
1453,831,826,5.46,21.01,40.26,6.55,891.66,5404.46,Buruk,"tambahkan pupuk dikit, tambahkan air"
1567,1468,1483,7.62,24.43,26.33,1.97,873.6,3965.41,Buruk,"tambahkan pupuk dikit, tambahkan air"
1594,1724,1622,8.22,16.02,15.4,4.2,942.85,2492.1,Buruk,"tambahkan pupuk dikit, tambahkan air"
755,1046,1264,8.13,24.84,22.79,8.27,509.9,5949.62,Buruk,"tambahkan pupuk sedang, tambahkan air"
1515,1387,1059,8.03,16.83,29.03,1.34,440.04,1530.77,Buruk,"tambahkan pupuk dikit, tambahkan air"
1470,839,1791,5.08,27.97,35.82,1.33,682.5,3377.91,Buruk,"tambahkan pupuk dikit, tambahkan air"
418,477,1345,6.29,13.25,26.46,2.28,445.92,4881.88,Buruk,"tambahkan pupuk banyak, tambahkan air"
733,1226,1512,8.93,16.28,31.08,5.54,89.85,503.57,Buruk,"tambahkan pupuk sedang, tambahkan air"
841,1053,1453,8.95,19.93,30.73,2.55,733.93,4361.24,Buruk,"tambahkan pupuk sedang, tambahkan air"
718,699,842,7.21,25.44,19.95,5.06,316.93,1965.74,Buruk,"tambahkan pupuk sedang, tambahkan air"
1573,122,1516,7.69,24.9,33.69,3.05,96.63,1433.5,Buruk,"tambahkan pupuk dikit, tambahkan air"
243,392,753,8.78,14.19,28.18,5.09,69.59,2008.07,Buruk,"tambahkan pupuk banyak, tambahkan air"
264,1390,457,6.52,12.87,39.24,2.81,934.79,5817.49,Buruk,"tambahkan pupuk banyak, tambahkan air"
445,1652,1517,5.12,16.05,35.72,9.8,289.47,5405.64,Buruk,"tambahkan pupuk banyak, tambahkan air"
1186,575,686,7.51,19.63,18.34,4.95,475.5,1675.65,Buruk,"tambahkan pupuk dikit, tambahkan air"
1294,1051,139,8.82,20.73,29.66,7.45,953.05,1143.65,Buruk,"tambahkan pupuk dikit, tambahkan air"
357,550,1001,7.64,18.54,36.07,7.02,494.14,2502.84,Buruk,"tambahkan pupuk banyak, tambahkan air"
1137,997,372,8.11,23.2,17.61,4.93,124.68,3757.85,Buruk,"tambahkan pupuk dikit, tambahkan air"
1248,384,1543,6.4,18.51,38.77,2.43,574.34,5269.3,Buruk,"tambahkan pupuk dikit, tambahkan air"
1024,1436,1193,4.93,28.83,21.66,5.13,133.79,5813.5,Buruk,"tambahkan pupuk dikit, tambahkan air"
1446,1285,928,5.26,15.19,30.09,6.83,140.33,4631.34,Buruk,"tambahkan pupuk dikit, tambahkan air"
359,689,722,8.92,22.48,43.22,4.63,858.9,3794.54,Buruk,"tambahkan pupuk banyak, tambahkan air"
1017,221,557,6.72,22.17,32.14,0.87,324.95,1282.83,Buruk,"tambahkan pupuk dikit, tambahkan air"
1204,1604,333,4.55,15.6,27.72,0.23,694.74,907.16,Buruk,"tambahkan pupuk dikit, tambahkan air"
274,1235,296,8.8,18.19,15.2,3.31,533.48,3778.15,Buruk,"tambahkan pupuk banyak, tambahkan air"
337,1362,1974,6.74,17.27,19.0,1.54,261.21,3464.85,Buruk,"tambahkan pupuk banyak, tambahkan air"
678,1333,1834,8.26,13.43,32.36,9.07,541.93,5153.48,Buruk,"tambahkan pupuk sedang, tambahkan air"
752,1472,1632,6.97,19.5,29.81,1.8,115.54,2274.33,Buruk,"tambahkan pupuk sedang, tambahkan air"
1526,610,635,4.96,17.69,25.91,3.97,379.85,718.3,Buruk,"tambahkan pupuk dikit, tambahkan air"
586,101,1942,7.27,13.55,42.7,7.14,546.69,2830.4,Buruk,"tambahkan pupuk sedang, tambahkan air"
671,991,1037,8.99,18.95,24.97,8.16,266.97,5830.5,Buruk,"tambahkan pupuk sedang, tambahkan air"
1557,1838,246,4.66,18.39,31.11,4.8,677.18,4875.66,Buruk,"tambahkan pupuk dikit, tambahkan air"
508,898,673,8.29,12.61,32.06,1.85,99.22,685.75,Buruk,"tambahkan pupuk sedang, tambahkan air"
1086,728,1582,5.56,12.61,30.82,2.75,510.57,5310.73,Buruk,"tambahkan pupuk dikit, tambahkan air"
900,560,1190,6.27,22.89,29.33,4.22,729.25,3094.29,Buruk,"tambahkan pupuk dikit, tambahkan air"
1386,1935,129,6.18,24.06,25.11,3.68,458.45,2506.22,Buruk,"tambahkan pupuk dikit, tambahkan air"
1199,1981,206,8.54,28.73,42.26,3.52,880.86,2407.07,Buruk,"tambahkan pupuk dikit, tambahkan air"
1151,1051,1801,6.77,11.73,28.52,1.36,650.58,3773.29,Buruk,"tambahkan pupuk dikit, tambahkan air"
1278,1605,489,6.51,12.35,30.85,9.14,960.57,3418.3,Buruk,"tambahkan pupuk dikit, tambahkan air"
985,1749,978,8.18,11.03,34.69,0.35,319.92,4111.45,Buruk,"tambahkan pupuk dikit, tambahkan air"
504,1709,505,4.72,20.59,17.03,4.43,941.85,3655.03,Buruk,"tambahkan pupuk sedang, tambahkan air"
301,1071,1244,4.89,22.39,38.44,9.8,626.48,1291.7,Buruk,"tambahkan pupuk banyak, tambahkan air"
974,1364,1134,4.6,18.03,30.38,6.61,757.92,1914.8,Buruk,"tambahkan pupuk dikit, tambahkan air"
1431,1081,683,7.6,25.88,34.72,3.59,907.05,5125.66,Buruk,"tambahkan pupuk dikit, tambahkan air"
1538,913,446,6.87,23.67,38.16,1.5,573.64,4147.92,Buruk,"tambahkan pupuk dikit, tambahkan air"
1272,153,1376,8.44,29.62,41.22,9.64,869.07,2966.2,Buruk,"tambahkan pupuk dikit, tambahkan air"
771,1794,896,6.74,12.74,26.77,0.19,564.61,1504.31,Buruk,"tambahkan pupuk sedang, tambahkan air"
347,1590,218,5.5,11.16,39.34,6.83,619.24,542.3,Buruk,"tambahkan pupuk banyak, tambahkan air"
1434,208,619,8.12,15.47,22.77,8.81,472.84,2215.38,Buruk,"tambahkan pupuk dikit, tambahkan air"
1595,379,1338,5.82,10.38,34.81,0.3,188.36,801.66,Buruk,"tambahkan pupuk dikit, tambahkan air"
796,1788,832,8.71,28.56,18.08,7.27,575.83,3152.56,Buruk,"tambahkan pupuk sedang, tambahkan air"
1177,1798,179,5.63,16.05,15.6,9.99,978.58,5019.91,Buruk,"tambahkan pupuk dikit, tambahkan air"
1270,1180,518,5.25,20.99,17.87,6.41,797.83,2069.69,Buruk,"tambahkan pupuk dikit, tambahkan air"
698,939,683,6.72,16.33,24.58,4.18,760.12,5162.65,Buruk,"tambahkan pupuk sedang, tambahkan air"
354,936,811,4.73,14.89,15.93,8.75,661.14,4375.1,Buruk,"tambahkan pupuk banyak, tambahkan air"
429,1337,1808,4.66,13.03,33.91,5.56,380.51,1188.94,Buruk,"tambahkan pupuk banyak, tambahkan air"
1523,1631,1412,6.73,16.38,24.5,7.51,211.13,4045.09,Buruk,"tambahkan pupuk dikit, tambahkan air"
357,1151,333,5.47,22.25,37.09,5.9,263.32,1334.24,Buruk,"tambahkan pupuk banyak, tambahkan air"
1122,303,360,4.54,29.34,16.38,0.43,56.01,4101.35,Buruk,"tambahkan pupuk dikit, tambahkan air"
1470,644,1032,5.83,21.11,21.5,2.17,689.81,1284.93,Buruk,"tambahkan pupuk dikit, tambahkan air"
767,408,756,6.65,20.6,27.24,0.83,821.28,2658.81,Buruk,"tambahkan pupuk sedang, tambahkan air"
1374,1757,1145,6.27,10.7,26.48,1.11,305.47,3616.27,Buruk,"tambahkan pupuk dikit, tambahkan air"
498,627,177,5.11,26.72,18.93,0.2,137.26,777.06,Buruk,"tambahkan pupuk banyak, tambahkan air"
1277,1789,841,7.11,10.89,44.82,4.24,368.94,1343.2,Buruk,"tambahkan pupuk dikit, tambahkan air"
